MONTH,NUMBER
2019-5,0
2019-6,60
2019-7,60
2019-8,60
2019-9,60
2019-10,60
2019-11,60
2019-12,120
2020-1,120
2020-2,240
2020-3,298
2020-4,358
2020-5,417
2020-6,415
2020-7,533
2020-8,532
2020-9,639
2020-10,671
2020-11,839
2020-12,895
2021-1,892
2021-2,961
2021-3,1081
2021-4,1317
2021-5,1433
2021-6,1663
2021-7,1660
2021-8,1650
2021-9,1639
2021-10,1678
2021-11,1666
2021-12,1708
2022-1,1791
2022-2,1868
2022-3,1969
2022-4,2109
2022-5,2194
2022-6,2404
2022-7,2452
2022-8,2697
2022-9,2939
2022-10,3126
2022-11,3274
2022-12,3267
2023-1,3373
2023-2,3528
2023-3,3702
2023-4,3911
2023-5,3967
2023-6,4197
2023-7,4364
2023-8,4539
2023-9,4660
2023-10,4841
2023-11,5010
2023-12,5140
2024-1,5267
2024-2,5413
2024-3,5523
2024-4,5696
2024-5,5892
2024-6,6073
2024-7,6216
2024-8,6268
2024-9,6374
2024-10,6420
2024-11,6554
2024-12,6802
2025-1,6891
2025-2,6970
2025-3,7078
2025-4,7148
2025-5,7301
